Channel,Vehicle,age_min,age_max,gender,concat,a,b,c
SMR,overall,65,69,F,SMRoverallF6569,-2.515358906,0.827839794,0.211408
SMR,overall,50,54,M,SMRoverallM5054,-3.243364047,0.879811892,0.263056
SMR,overall,60,64,M,SMRoverallM6064,-2.441275843,0.846273333,0.216832
SMR,overall,50,54,F,SMRoverallF5054,-2.37607607,0.798762722,0.19744
SMR,overall,60,64,F,SMRoverallF6064,-2.515358906,0.827839794,0.211408
Naver,overall,55,59,M,NaveroverallM5559,-4.989718167,0.85518,0.904400208
Naver,overall,65,69,M,NaveroverallM6569,-4.989718167,0.85518,0.898266324
Naver,overall,55,59,F,NaveroverallF5559,-4.989718167,0.85518,0.868671745
Naver,overall,65,69,F,NaveroverallF6569,-4.989718167,0.85518,0.851658349
Naver,overall,7,12,M,NaveroverallM712,-4.989718167,0.85518,0.830206364
Naver,overall,13,18,M,NaveroverallM1318,-4.989718167,0.85518,0.878159203
Naver,overall,19,24,M,NaveroverallM1924,-4.989718167,0.85518,0.834218813
Naver,overall,25,29,M,NaveroverallM2529,-4.989718167,0.85518,0.877246833
Naver,overall,30,34,M,NaveroverallM3034,-4.989718167,0.85518,0.885358768
Naver,overall,35,39,M,NaveroverallM3539,-4.989718167,0.85518,0.872336176
Naver,overall,40,44,M,NaveroverallM4044,-4.989718167,0.85518,0.869919556
Naver,overall,45,49,M,NaveroverallM4549,-4.989718167,0.85518,0.896166116
Naver,overall,7,12,F,NaveroverallF712,-4.989718167,0.85518,0.814223917
Naver,overall,13,18,F,NaveroverallF1318,-4.989718167,0.85518,0.824877524
Naver,overall,19,24,F,NaveroverallF1924,-4.989718167,0.85518,0.848989765
Naver,overall,25,29,F,NaveroverallF2529,-4.989718167,0.85518,0.900907665
Naver,overall,30,34,F,NaveroverallF3034,-4.989718167,0.85518,0.861871712
Naver,overall,35,39,F,NaveroverallF3539,-4.989718167,0.85518,0.881894084
Naver,overall,40,44,F,NaveroverallF4044,-4.989718167,0.85518,0.913112359
Naver,overall,45,49,F,NaveroverallF4549,-4.989718167,0.85518,0.910764933
Naver,overall,50,54,M,NaveroverallM5054,-4.989718167,0.85518,0.904400208
Naver,overall,60,64,M,NaveroverallM6064,-4.989718167,0.85518,0.898266324
Naver,overall,50,54,F,NaveroverallF5054,-4.989718167,0.85518,0.868671745
Naver,overall,60,64,F,NaveroverallF6064,-4.989718167,0.85518,0.851658349
Naver,네이버동영상,7,12,M,Naver네이버동영상M712,-3.194771094,0.661433577,0.38
Naver,네이버동영상,13,18,M,Naver네이버동영상M1318,-3.194771094,0.661433577,0.38
Naver,네이버동영상,19,24,M,Naver네이버동영상M1924,-2.71614275,0.627617292,0.34
Naver,네이버동영상,25,29,M,Naver네이버동영상M2529,-2.891838471,0.793502677,0.34
Naver,네이버동영상,30,34,M,Naver네이버동영상M3034,-2.891838471,0.793502677,0.34
Naver,네이버동영상,35,39,M,Naver네이버동영상M3539,-3.237949273,0.76048157,0.4
Naver,네이버동영상,40,44,M,Naver네이버동영상M4044,-3.354776266,0.828272111,0.39
Naver,네이버동영상,45,49,M,Naver네이버동영상M4549,-3.244396201,0.808046244,0.38
Naver,네이버동영상,55,59,M,Naver네이버동영상M5559,-3.179645071,0.846725023,0.36
Naver,네이버동영상,65,69,M,Naver네이버동영상M6569,-3.267778555,0.811766409,0.38
Naver,네이버동영상,7,12,F,Naver네이버동영상F712,-3.194771094,0.661433577,0.38
Naver,네이버동영상,13,18,F,Naver네이버동영상F1318,-3.194771094,0.661433577,0.38
Naver,네이버동영상,19,24,F,Naver네이버동영상F1924,-2.71614275,0.627617292,0.34
Naver,네이버동영상,25,29,F,Naver네이버동영상F2529,-2.891838471,0.793502677,0.34
Naver,네이버동영상,30,34,F,Naver네이버동영상F3034,-2.891838471,0.793502677,0.34
Naver,네이버동영상,35,39,F,Naver네이버동영상F3539,-3.237949273,0.76048157,0.4
Naver,네이버동영상,40,44,F,Naver네이버동영상F4044,-3.354776266,0.828272111,0.39
Naver,네이버동영상,45,49,F,Naver네이버동영상F4549,-3.244396201,0.808046244,0.38
Naver,네이버동영상,55,59,F,Naver네이버동영상F5559,-3.179645071,0.846725023,0.36
Naver,네이버동영상,65,69,F,Naver네이버동영상F6569,-3.267778555,0.811766409,0.38
Naver,네이버동영상,50,54,M,Naver네이버동영상M5054,-3.179645071,0.846725023,0.36
